"id","area","feature","user_story","expected_behavior_based_on_code","source_code","test_status","issue_status","fix_status","retest_status","notes"
"US-001","App navigation","Tab navigation","As a user I can switch between calculation tabs from the top navigation.","Clicking a tab changes the active mode and renders the selected lazy-loaded module inside ErrorBoundary/Suspense.","src/App.tsx","tested-pass","none","not-needed","not-needed","Browser smoke on local production build passed on 2026-07-28 for all seven tabs; no console errors."
"US-002","App stability","Lazy tab loading fallback","As a user I see a loading state when a heavy calculation module is loading.","LazyTab wraps children in Suspense and shows a small loading fallback while the module chunk loads.","src/App.tsx; src/components/ErrorBoundary.tsx","tested-pass","none","not-needed","not-needed","Automated app infrastructure contract test passed on 2026-06-22; heavy generated modules should remain outside startup chunk."
"US-003","App stability","Calculation module error boundary","As a user a failed module should not crash the whole app.","ErrorBoundary catches tab errors, logs technical details, shows a Russian error message, optional message detail, and retry button.","src/components/ErrorBoundary.tsx; src/App.tsx","tested-pass","none","not-needed","not-needed","Automated app infrastructure contract test passed on 2026-06-22; browser-level retry click can still be covered in a future E2E pass."
"US-004","Shared building context","Building summary banner","As a user I can see the shared building inputs while working across modules.","BuildingSummaryBanner displays shared span, length, height, slope, frame pitch, w0, Sg, terrain, roof and gamma values.","src/components/BuildingSummaryBanner.tsx; src/App.tsx","tested-pass","none","not-needed","not-needed","GitHub Pages smoke on 2026-06-22 confirmed shared building banner/context text is present."
"US-005","Shared building context","Synced numeric fields validation","As a user I get warnings near invalid shared numeric inputs.","Synced numeric fields validate positive/non-negative values and show local warnings without silently hiding calculation failures.","src/building/SyncedField.tsx; src/utils/validation.ts","tested-pass","none","not-needed","not-needed","Automated validation tests passed on 2026-06-22; manual visual placement still can be checked in UI pass."
"US-006","Shared building context","Climate city lazy search","As a user I can search and select a city without loading climate JSON in startup bundle.","City search uses async service with debounced search and dynamic import of settlements climate JSON; selected city fills terrain, w0 and Sg where applicable.","src/services/settlements.ts; src/types/climate.ts; src/App.tsx","tested-pass","none","not-needed","not-needed","Automated app infrastructure contract test passed on 2026-06-22; previous manual smoke confirmed Chelyabinsk fills climate values."
"US-007","Column","Column automatic calculation","As a user I can view selected profiles for edge, fachwerk and middle columns based on current inputs.","ColumnApp recomputes runCalculation for column types and publishes picked results to shared summary bus.","src/columnTab/ColumnApp.tsx; src/calc/engine.ts; src/columnTab/columnResultPublisher.ts","tested-pass","none","not-needed","not-needed","Automated column acceptance tests and feature user story contract test passed on 2026-06-22; no formulas changed."
"US-008","Column","Column crane flags","As a user I can mark overhead/suspended crane presence in the column module.","Column crane inputs update shared hasCrane state through hasColumnCrane; crane status affects summary and crane beam readiness.","src/columnTab/CranesSection.tsx; src/calc/cranes.ts; src/columnTab/ColumnApp.tsx","tested-pass","none","not-needed","not-needed","Automated crane flag tests and feature user story contract test passed on 2026-06-22; if no crane, crane beam is not required."
"US-009","Column","Column load propagation banner","As a user I can see loads propagated from truss and crane beam into the column context.","LoadPropagationBanner shows truss reactions and crane beam publication when available.","src/columnTab/LoadPropagationBanner.tsx; src/building/loadPropagation.ts","tested-pass","none","not-needed","not-needed","Feature user story contract test passed on 2026-06-22; H remains not calculated/not confirmed as zero."
"US-010","Column","Column strut accounting details","As a user I can see how many column struts are included in the summary row.","Column result details show struts per column and total struts; strut mass/cost is included in column group totals.","src/columnTab/columnResultPublisher.ts; src/columnTab/columnStruts.ts","tested-pass","none","not-needed","not-needed","Automated column publisher tests passed on 2026-06-22; material is documented as tr.kv.80x4 C255B, summary shows quantity only."
"US-011","Truss","Truss automatic calculation","As a user I can calculate roof truss profiles and see section results.","TrussApp recomputes runTrussCalculation from synced building inputs and publishes truss sections, total mass, cost, unit mass and reactions.","src/TrussApp.tsx; src/calc/truss/engine.ts; src/trussResultPublisher.ts","tested-pass","none","not-needed","not-needed","Automated truss acceptance tests, UI warning contract and feature user story contract test passed on 2026-06-22."
"US-012","Truss","Horizontal reaction H warning","As a user I am warned that horizontal reaction H is an open engineering question.","Truss UI displays warning that H is not found in the Excel-oracle, is not passed into column calculation as a number, and is not a confirmed H = 0 assumption.","src/TrussApp.tsx; knowledge/wiki/open-assumptions.md","tested-pass","none","not-needed","not-needed","Automated UI warning contract test passed on 2026-06-22; do not hide this warning."
"US-013","Purlins","Purlin automatic calculation","As a user I can calculate purlins with LSTK and rolled candidates.","PurlinApp runs runPurlinCalculation and rolled selection, then publishes selected purlin result according to purlinSelectionMode.","src/PurlinApp.tsx; src/calc/purlin/engine.ts; src/calc/purlin/rolled.ts; src/building/purlinSelection.ts","tested-pass","none","not-needed","not-needed","Automated purlin acceptance/selection tests and feature user story contract test passed on 2026-06-22."
"US-014","Purlins","Purlin type selection","As a user I can choose Auto, 2TPS, 2PS, Z or rolled purlin type where allowed.","Available choices depend on roof structure; 2TPS is only available for roof structures starting with 'наше '.","src/building/purlinSelection.ts; src/SummaryApp.tsx","tested-pass","none","not-needed","not-needed","Automated purlin selection tests passed on 2026-06-22; rule confirmed by user: 2TPS only for layer-by-layer roof assembly."
"US-015","Purlins","Purlin continuity scheme","As a user I can choose split or continuous purlin accounting.","Split uses bay length and larger piece count; continuous uses building length and line count.","src/building/purlinSelection.ts; src/SummaryApp.tsx","tested-pass","none","not-needed","not-needed","Automated purlin selection tests passed on 2026-06-22; this affects summary quantity and length only."
"US-016","Purlins","Purlin max auto step","As a user I can constrain automatic purlin max step like in Excel.","Purlin input includes maxStep_mm and engine acceptance tests cover max step scenarios including 1200 mm.","src/PurlinApp.tsx; src/calc/purlin/engine.ts; src/calc/purlin/engine.acceptance.test.ts","tested-pass","none","not-needed","not-needed","Automated purlin acceptance tests passed on 2026-06-22; manual UI label check remains for UI pass."
"US-017","Purlins","Purlin axial wind warning","As a user I see the temporary axial wind load warning for purlins.","Purlin UI keeps visible warning about temporary axial wind load assumption for rolled purlins.","src/PurlinApp.tsx; knowledge/wiki/open-assumptions.md","tested-pass","fixed","completed","tested-pass","Found corrupted placeholder warning text in PurlinApp; restored visible Russian warning and added automated UI warning contract test on 2026-06-22."
"US-018","Beam Cell","Roof beam calculation","As a user I can calculate roof beam / beam-cell result for summary.","BeamCellApp calculates main beam in roof beam mode, derives roof slope length and publishes selected main beam result.","src/BeamCellApp.tsx; src/calc/beamCell/engine.ts; src/beamCellResultPublisher.ts","tested-pass","none","not-needed","not-needed","Automated beam-cell acceptance and summary contract tests passed on 2026-06-22."
"US-019","Window Riegel","Window riegel calculation","As a user I can calculate lower/upper window riegel profile options from Excel-backed workbook.","WindowRiegelApp runs calculateWindowRiegel, displays lower/upper and upper-type-1 tables, and publishes top result for summary.","src/WindowRiegelApp.tsx; src/calc/windowRiegel/engine.ts; src/windowRiegelResultPublisher.ts","tested-pass","fixed","completed","tested-pass","Browser smoke on 2026-07-28 found literal #N/A rows and a terrain-label mismatch between tab and summary. UI now hides only Excel-error rows; both paths use shared A/B/C to А/В/С adapter. Workbook generated files were not edited."
"US-020","Window Riegel","Manual window riegel count","As a user I can set the number of window riegels used in the building summary.","windowRiegelCount is a shared building field; publisher multiplies unit mass and cost by count and summary warns that count is manual.","src/WindowRiegelApp.tsx; src/building/windowRiegelBuildingSummary.ts; src/SummaryApp.tsx","tested-pass","none","not-needed","not-needed","Automated window-riegel summary tests passed on 2026-06-22; future facade model should replace manual count."
